ID,ID_CLUSTER,QUESTION,ANSWER,CONTEXT,CONTEXT_CLUSTER,SCORE
13.4.1,4.0,Do you look out the window at the scenery when travelling by bus or car?,"Well, absolutely! I almost always make a point of staring out the window whenever I’m on a bus or in a car, especially on longer trips around Vietnam. There’s something hypnotic about watching the landscape roll by, whether it’s endless rice paddies turning gold in the late afternoon light or chaotic city streets flashing past in HCMC traffic. It’s my favourite way to zone out, daydream, and feel connected to wherever I’m going instead of just scrolling on my phone.",Scenery,1.0,8.0
14.4.1,4.0,What are the most beautiful sights you have seen while travelling?,"Oh, a few really stand out, like the misty mountains and terraced rice fields around Sapa at sunrise, where the fog lifts slowly and everything looks painted in soft greens and pinks. Another one is Ha Long Bay from the deck of a boat at dawn, with those jagged limestone karsts rising out of emerald water and the sun turning the whole scene golden. Closer to my hometown, I’ve had moments on coastal roads in Phú Quốc where the sea stretches forever on one side and jungle-covered hills on the other. It’s the kind of view that makes you forget time exists for a while.",Scenery,1.0,8.0
15.4.1,4.0,Do you prefer the mountains or the sea?,"It’s tough, but if I had to pick, I lean toward the sea just a tiny bit more: the endless horizon and the sound of waves, specifically that salty breeze always feel incredibly freeing and calming after weeks in the city hustle. Mountains have their own magic though, especially the crisp air and dramatic views from up high, and I love the quiet intensity of hiking through them. Honestly, I crave both depending on my mood: sea for pure relaxation, mountains for adventure and a sense of awe.",Scenery,1.0,8.0
16.4.1,4.0,Do you like to take scenery pictures?,"Yeah, I do enjoy snapping scenery pics quite a lot! It’s my way of capturing those fleeting moments so I can relive them later, you know, like a quick shot of misty rice terraces or a dramatic sunset over the Mekong. I’m not super serious about it with fancy gear, just my phone most of the time, but I love experimenting with angles and timing to make the photo feel as alive as the real view. It’s also nice to share them with friends or look back and remember how peaceful or breathtaking a place felt in that exact second.",Scenery,1.0,8.0
17.5.1,5.0,Do you like reading?,"Well, yeah, I really do enjoy reading! It’s one of those things that can transport me completely, whether it’s getting lost in a gripping novel or picking up random articles that spark new ideas. Living in a fast-paced city like Ho Chi Minh City, it’s become my favourite way to slow down and recharge, almost like a mini escape without leaving the balcony. Honestly, the more I read, the more I realise how much richer conversations and thinking become because of it.",Reading,1.0,8.0
18.5.1,5.0,Do you prefer to read on paper or on a screen?,"It depends on what I’m reading, but if I had to choose, I lean toward paper for anything I want to savour, like novels, poetry, or non-fiction books that I’ll revisit, because the feel of pages, the smell, and the lack of notifications make it way more immersive. For news, blogs, research, or quick articles though, screens win hands down; they’re searchable, portable, and I can read at night without a lamp. In the end, paper feels special and intentional, while screens are practical for everyday stuff.",Reading,1.0,8.0
19.5.1,5.0,"When do you need to read carefully, and when not?","I need to read carefully when the material is dense or important, like legal documents, academic papers, instructions for something technical, or even a really good literary novel where every sentence carries weight and nuance. On the flip side, I don’t bother with careful reading for social media posts, casual news headlines, product reviews, or skimming emails; skimming or scanning is usually enough to get the gist without wasting time. It’s all about matching the effort to the purpose: deep focus for depth, quick glances for speed.",Reading,1.0,8.0
20.5.1,5.0,Do you prefer scanning or detailed reading?,"I prefer detailed reading when the content really matters or pulls me in, because a slow, immersive dive is where the real magic happens. You catch subtleties, connect ideas, and actually remember more. Scanning is my default for most daily stuff though, like browsing articles, scrolling feeds, or checking updates, since it lets me cover a lot of ground fast in a busy day. Overall, I think the best approach is being flexible: scan to decide what’s worth the deeper read, then go all in when it clicks.",Reading,1.0,8.0
21.6.1,6.0,Do you like watching team games? Why?,"Well, yeah, I really enjoy watching team games. There’s something electric about seeing a group of people sync up perfectly, like when a football team pulls off a last-minute counterattack or a basketball squad runs a flawless fast break. The drama comes from the strategy, the trust between players, and those heart-stopping moments when one person’s mistake or brilliance changes everything for the whole side. For me, it’s way more gripping than individual sports because you get to watch relationships, chemistry, and comebacks unfold right in front of you.",Sports Team,1.0,8.0
22.6.1,6.0,Have you ever been part of a sports team?,"Oh, sure! Back in secondary school here in HCMC I played on the class futsal team for a couple of years, nothing pro-level, just sweaty afternoon matches on concrete courts with mismatched jerseys and a lot of shouting in Vietnamese. I wasn’t the star scorer or anything, but being part of that little crew taught me heaps about passing the ball instead of hogging it and celebrating everyone’s wins together. Those chaotic games after school are still some of my favourite memories.",Sports Team,1.0,8.0
23.6.1,6.0,Are team sports popular in your culture?,"Definitely! Team sports are huge in Vietnam, especially football, which is practically a religion here; you’ll see people glued to TVs or crowding street-side screens during big matches like the V-League, AFF Cup, or World Cup. Even badminton doubles and casual volleyball in parks are everywhere too, particularly among younger crowds and students. It’s not just about the game. Team sports tie into community spirit, family gatherings, and national pride, so they feel deeply woven into everyday life.",Sports Team,1.0,8.0
24.6.1,6.0,What are the differences between team sports and individual sports?,"The biggest difference is the dynamic: team sports rely on cooperation, communication, and roles. Your success depends on how well you read your teammates, cover their weaknesses, and celebrate collective wins, whereas individual sports like tennis, swimming, or running put everything on your own shoulders, so it’s more about personal discipline, mental toughness, and direct head-to-head battles. Team games can be messier and more unpredictable because of all the moving parts, but they build stronger social bonds and teach compromise; individual ones often feel purer in terms of skill and focus, with no one else to blame or credit. Personally, I think both have their magic, but team sports just hit different when it comes to shared highs and lows.",Sports Team,1.0,8.0
25.7.1,7.0,Do you walk a lot?,"Well, yeah, I try to get my steps in, probably 10,000 steps most days just getting around the city on foot instead of grabbing a Grab bike every time. Between dodging scooters, crossing chaotic intersections, and strolling to nearby cafés or markets, walking has become my default way to move. It keeps me active without feeling like forced exercise, plus I spot all those little street details you miss when you’re zooming by on wheels.",Walking,1.0,8.0
26.7.1,7.0,Did you often go outside to have a walk when you were a child?,"Oh, definitely! We were always outside walking or running around as kids, whether it was wandering to the neighbourhood chợ for snacks with friends or trailing along with our parents on evening strolls to escape the heat indoors. There weren’t as many screens back then, so walking was just what we did to burn energy, play games in the alleys, or chase after ice-cream carts ringing their bells. Those aimless walks felt endless and full of adventure, you know, like the whole block was our playground.",Walking,1.0,8.0
27.7.1,7.0,Why do people like to walk in parks?,"People flock to parks for walks because they offer that rare combo of fresh air, green space, and a break from the urban grind, especially in a buzzing city like Saigon where concrete and traffic dominate. You get to stretch your legs at your own pace, breathe easier without exhaust fumes, and watch other people living their lives, from tai chi groups to kids flying kites, which somehow feels both peaceful and alive. It’s also one of the few free, no-pressure ways to clear your head, get some vitamin D, and feel a bit more connected to nature in the middle of everything.",Walking,1.0,8.0
28.7.1,7.0,Where would you like to take a long walk if you had the chance?,"If I could pick anywhere right now, I’d love a long, leisurely walk along the Cinque Terre coastal path in Italy: those colourful villages perched on cliffs, the turquoise sea crashing below, and narrow trails winding through vineyards and lemon groves sound like pure bliss. Closer to home, though, I’d jump at the chance to hike the full loop around Hồ Tây in Hanoi on a crisp morning, with the lake sparkling and fewer crowds than the touristy spots. Either way, somewhere with stunning views, a gentle breeze, and no rush; just me, good shoes, and hours to let my mind wander.",Walking,1.0,8.0
29.7.1,7.0,Where did you go for a walk lately?,"Lately, I’ve been walking around Tao Đàn Park most weekends. It’s right in the heart of District 1, so it’s easy to reach, and early mornings there are magical with the big old trees, people doing exercise, and that soft light filtering through the leaves. Last time I went, I just grabbed a cà phê sữa đá from a vendor, looped the paths slowly and sat on a bench people-watching for a while. Nothing fancy, but it’s become my little reset spot that leaves me feeling recharged and ready to tackle the week.",Walking,1.0,8.0
30.8.1,8.0,What did you often do with your friends in your childhood?,"Well, back in primary school, we spent most afternoons playing “cướp cờ” (capture the flag) or hide-and-seek in the small alleys around our block, and laughing until our sides hurt. On weekends we’d pool our pocket money for a bag of iced chè or those cheap plastic toys from the street vendors, then race bikes or draw chalk hopscotch on the footpath. Those simple, sweaty, sun-soaked games felt like the whole world was just our little neighbourhood, and looking back, they were pure magic.",Life Stages,1.0,8.0
31.8.1,8.0,Do you have any plans for the next five years?,"Yeah, I’ve got a loose roadmap. I’d love to level up in my career, maybe shift toward something more creative like content creation or community projects that actually make a difference in Saigon. On the personal side, I’m aiming to travel more within Southeast Asia, build a solid savings cushion, and keep nurturing hobbies like plants and photography so life doesn’t just become work. Nothing set in stone, but the next five years feel like a sweet spot to grow roots while still chasing a few adventures.",Life Stages,1.0,8.0
32.8.1,8.0,How do people remember each stage of their lives?,"It seems like we tend to remember stages through a mix of big emotional peaks and everyday sensory snapshots. Childhood often comes back as vivid colours, smells like street food or rain on hot asphalt, and that carefree feeling of endless playtime. Teenage years hit with intense drama, first crushes, and rebellion, while adulthood gets filtered through achievements, relationships, and the quiet routines that suddenly feel meaningful later. In the end, it’s less about perfect timelines and more about the moments that tugged at your heart or taught you something lasting.",Life Stages,1.0,8.0
33.8.1,8.0,At what age do you think people are the happiest?,"From what I’ve seen and felt myself, a lot of people hit peak happiness somewhere in their late 30s to early 50s, old enough to have figured out who they are and what matters, but young enough to still have energy for new experiences and fewer major regrets weighing them down. Childhood has that innocent joy, twenties bring excitement and freedom, but there’s often so much uncertainty; later stages can bring peace, yet health or loss starts creeping in. So yeah, that middle stretch where stability meets curiosity seems to be the sweet spot for most.",Life Stages,1.0,8.0
34.8.1,8.0,Do you enjoy being the age you are now?,"Oh, definitely! I’m really enjoying this phase right now; there’s enough freedom and self-knowledge to make choices that actually feel right, without the pressure of “figuring everything out” like in my early twenties. Sure, adult responsibilities pile up and Saigon’s pace never slows, but I love the balance of chasing goals while still having time for spontaneous moments. It feels like I’m finally living in the present instead of always rushing toward the next milestone, and that’s pretty liberating.",Life Stages,1.0,8.0
35.9.1,9.0,What was your dream job when you were young?,"Well, when I was around eight or nine, I was dead set on becoming an astronaut. Seriously, I’d spend hours staring at the night sky from our balcony in my hometown, imagining floating around in zero gravity and eating freeze-dried ice cream. I even made little “mission control” drawings with cardboard boxes and drew rocket ships everywhere, convinced I’d be the first Vietnamese person on Mars. It was that classic kid dream fueled by space cartoons and the thrill of adventure way beyond our little city streets.",Dream Job,1.0,8.0
36.9.1,9.0,Have you changed your mind on your dream job?,"Oh, completely! Somewhere in my teens the astronaut fantasy faded as I realised the insane competition, physics I struggled with, and the fact that space travel still felt light-years away from reality. These days I’m way more grounded and happy chasing roles that let me connect with people and solve real-world puzzles, like something in design, content, or even community-building here in Saigon. Looking back, I think that early dream just taught me to aim high and stay curious, even if the destination shifted to something closer to home and heart.",Dream Job,1.0,8.0
37.10.1,10.0,Have you ever had an experience where you did something well?,"Oh yeah, one that still makes me smile was last year when I organised a small team-building event for my colleagues here. To be more specific, I turned a boring Friday afternoon into a rooftop scavenger hunt with local street food prizes and silly challenges. Everything clicked: timing, weather, even the shyest people got involved and laughed the whole time. Seeing everyone leave buzzing and saying it was the best work break they’d had in ages felt like pure gold! I knew I’d pulled it off really well.",Doing Well,1.0,8.0
38.10.1,10.0,Have you ever had an experience where your teacher thought you did a good job?,"Definitely! Back in secondary school, I wrote an essay for English class comparing two Vietnamese folk tales to modern short films, and my teacher actually read parts of it aloud to the whole class because she said it showed real insight and creativity. She even wrote a long note on the front saying it was one of the best pieces she’d seen that year and stuck a little star sticker on it, which felt huge at the time. That moment really boosted my confidence in writing and made me realise putting thought and personality into something could actually stand out.",Doing Well,1.0,8.0
39.11.1,11.0,Do you often visit museums?,"Not as often as I’d like, honestly. Maybe three or four times a year at most, usually when there’s a new exhibition or I’m showing a friend around the city. Life gets hectic with work and traffic here, so it’s more of a deliberate treat than a weekly habit. That said, every time I do go I leave thinking I should make it more regular because those little escapes really recharge me in a way nothing else does.",Museum,1.0,8.0
40.11.1,11.0,Do you like visiting museums and art galleries?,"Oh, absolutely! I genuinely enjoy them because they’re one of the few places where you can just soak in silence and stimulation at the same time. There’s something calming about walking slowly through rooms full of colour and shape, letting your mind wander without any pressure to “get” everything right away. Even on busy days in Saigon, popping into a gallery feels like hitting pause on the noise outside and coming out inspired.",Museum,1.0,8.0
41.11.1,11.0,What did you learn from visiting museums and art galleries?,"Well, one of the biggest things I’ve picked up is how much art acts like a time machine. It drops you straight into different eras, cultures, and mindsets without needing words. For instance, wandering through the Vietnam Fine Arts Museum here in HCMC showed me how wartime paintings captured raw emotion and resilience in ways history books never quite manage, and then seeing modern installations at the Factory Contemporary Arts Centre made me realise creativity keeps evolving with society’s chaos. Overall, those visits have taught me to slow down and look closer at every piece, whether ancient lacquer or bold street art as it carries someone’s story, perspective, or quiet rebellion.",Museum,1.0,8.0
42.12.1,12.0,What do you usually do during a break?,"Well, during a quick work break I usually step away from the screen, stretch my legs with a short walk around the apartment or down to the lobby, and grab a glass of cold water or iced trà đá if it’s super hot outside. If it’s longer, like a lunch break, I’ll scroll through some funny Reels, reply to a few messages from friends, or just stare out the window at the crazy traffic—it’s oddly relaxing. Basically, anything that resets my brain without needing too much effort.",Having a Break,1.0,8.0
43.12.1,12.0,What do you like to do during a break?,"Oh, what I really enjoy is popping in my earphones and listening to a podcast or some chill lo-fi while sipping coffee and people-watching from a balcony if I can sneak out. Sometimes I’ll do a quick five-minute meditation app session or just close my eyes and breathe deeply—it’s amazing how much calmer I feel after that tiny pause. Those little moments of doing almost nothing but something I actually like make the rest of the day flow so much smoother.",Having a Break,1.0,8.0
44.12.1,12.0,How often do you take a break?,"Pretty regularly, I’d say every 60–90 minutes during work hours because I’ve noticed I get foggy and less productive if I push through too long. I follow a loose Pomodoro vibe—work focused for about that stretch, then five to ten minutes off—and I’m stricter about longer breaks for lunch or coffee. In the end, those short resets keep me sharp instead of burning out by mid-afternoon.",Having a Break,1.0,8.0
45.12.1,12.0,Do you take a nap when you have a rest?,"Sometimes, yeah—especially on weekends or if I’ve had a really early start and I’m dragging in the afternoon, I’ll sneak in a 20 minute power nap on the couch with the fan on full blast. It’s like hitting the refresh button; I wake up way more alert and less cranky. During the week though, it’s rare because the workday rhythm here doesn’t really allow it, but when I do manage one, it feels like cheating in the best way.",Having a Break,1.0,8.0
46.13.1,13.0,Do you prefer typing or handwriting?,"The former, for sure! It’s so much faster, easier to edit, and I can actually read what I’ve written without squinting at my own chicken scratch. Handwriting still has its charm for quick notes, journaling, or doodling ideas when I want a slower, more thoughtful flow, you know, like when I’m brainstorming something creative. But for anything serious or lengthy, typing wins hands down because my brain moves quicker than my pen ever could.",Typing,1.0,8.0
47.13.1,13.0,Do you type on a desktop or laptop keyboard every day?," Oh yeah, pretty much every single day. I bounce between my laptop for most things since it’s portable around cafés and home, but I do switch to a full desktop setup with a mechanical keyboard when I’m grinding out longer work sessions or coding. The tactile click of a good mechanical board just feels satisfying, like it keeps my fingers happy during long stretches. Honestly, I can’t imagine a day without tapping away on one or the other anymore. ",Typing,1.0,8.0
48.13.1,13.0,When did you learn how to type on a keyboard?,"I properly learned around age 11 or 12, back when schools here started pushing basic computer classes with those clunky typing programs that made you race against the clock to hit keys like “asdf”. Before that I was just pecking with two fingers like most kids, but once I got the hang of touch typing it felt like unlocking a superpower. By high school I was flying across the keyboard, and it’s been second nature ever since.",Typing,1.0,8.0
49.13.1,13.0,How do you improve your typing?,"Honestly, I’ve mostly plateaued now, but when I wanted to get faster I used free online tools like Keybr or TypingClub for a few weeks, focusing on accuracy first then speed drills—those random word generators really force you out of bad habits. I also switched to a proper ergonomic layout and mechanical keyboard, which helped my fingers move more naturally without strain. At this point, it’s less about drills and more about consistency; the more I type daily, the smoother and quicker it gets without even thinking about it.",Typing,1.0,8.0
50.14.1,14.0,Do you like quiet or noisy places?,"Well, I definitely lean toward quiet places most of the time—they give me space to think, recharge, and actually hear my own thoughts without everything competing for attention. Noisy spots can be fun in short bursts, like a lively night market here in Ho Chi Minh City where the energy is electric, but after a while the constant buzz starts to drain me. In the end, quiet feels like a luxury I crave more as life gets busier.",Noisy Place,1.0,8.0
51.14.1,14.0,Would you like to go to quiet or noisy places on weekends when you are free?,"On weekends, I’d much rather head to a quiet spot if I’m truly free—like a peaceful café tucked away in Ben Thanh Ward, a morning walk in Tao Dan Park before the crowds arrive, or just chilling at home with the windows open and no agenda. Noisy places are great when I’m in the mood to meet friends or soak up the city vibe, but for proper downtime I choose calm over chaos every time. It’s the kind of reset that makes Monday feel way less daunting.",Noisy Place,1.0,8.0
52.15.1,15.0,Do you keep plants?,"Well, yes, of course! I’ve got a couple of low-maintenance ones thriving on my balcony here in Ho Chi Minh City, like a resilient snake plant and some pothos that just keep trailing happily no matter how much I forget to water them. They bring a bit of green calm to the concrete jungle vibe of the city, and honestly, seeing new leaves pop up feels like a tiny win every week. It’s turned into a quiet habit I really look forward to tending.",Plants,1.0,8.0
53.15.1,15.0,Have you ever had a plant?,"Oh, definitely—my first real one was a little lucky bamboo I got as a housewarming gift years ago, and somehow it’s still kicking in a corner of my living room. I’ve killed a few succulents along the way, mostly from over-loving them with water, but each flop taught me something about balance. These days I stick to tougher types so I don’t end up with a plant graveyard again.",Plants,1.0,8.0
54.15.1,15.0,What plants did you grow when you were younger?,"When I was a kid, my mom had us growing mung bean sprouts in old yogurt jars on the windowsill—super simple, just soak, rinse, and watch them shoot up in a few days for fresh salads. We also tried cherry tomatoes in plastic pots on the balcony; they never got huge, but picking those little red ones straight off the vine felt like magic. Those early experiments sparked my curiosity about growing stuff, even if most of it was more chaotic than successful.",Plants,1.0,8.0
55.15.1,15.0,Do people in your country send plants as gifts?,"Yeah, quite often actually. Plants are a really popular gift here, especially for housewarmings, Tet holidays, or new office openings, because they symbolize good luck, growth, and prosperity. You’ll see people giving money plants, orchids, or bonsai. Things like the kim tiền (money tree) are super common since the name itself carries that prosperous vibe. It’s way more thoughtful than flowers sometimes, because they last and keep giving that fresh energy to the space.",Plants,1.0,8.0
56.16.1,16.0,How often do you buy shoes?,"Well, not that often these days. I’d say once or twice a year at most, usually when my current pair starts falling apart or I need something specific like waterproof sneakers for the rainy season here in Ho Chi Minh City. I used to be more impulsive, grabbing trendy ones on sale, but now I’m pickier and wait for ones that actually last. It saves money and keeps my shoe rack from turning into a chaotic pile.",Shoes,1.0,8.0
57.16.1,16.0,Do you like to wear shoes that are comfortable or good-looking?,"Honestly, comfort wins hands down these days. I’d rather rock a pair of cushy, breathable sneakers that feel like walking on clouds than squeeze into stylish but torturous heels or narrow dress shoes. Sure, a sleek look is nice for photos or special occasions, but if my feet are screaming after an hour, the whole outfit’s ruined. Life’s too short, and Saigon’s streets too uneven for sacrificing comfort just to look good.",Shoes,1.0,8.0
58.16.1,16.0,Do people like to wear shoes that are comfortable or good-looking?,"It really depends on the person and the situation, but I’d say most lean toward comfort these days, especially younger crowds who live in athleisure and sneakers 24/7. You see plenty of people rocking chunky, ugly-but-comfy dad shoes or minimalist runners because practicality rules in a city with heat, traffic, and endless walking. That said, for nights out or office days, a lot still prioritize the wow factor: Good-looking shoes can instantly elevate an outfit, even if they pinch a bit.",Shoes,1.0,8.0
59.16.1,16.0,What is your favourite type of shoes?,"My absolute go-to is white minimalist sneakers—clean, versatile, and ridiculously comfortable, you know, the kind you can wear with anything without looking out of place. Brands like Common Projects or Veja hit the sweet spot for me: simple design, decent quality, and they age nicely instead of falling apart fast. They’re basically my uniform for everyday life here—easy to clean after a sudden downpour and always ready for whatever the day brings.",Shoes,1.0,8.0
60.17.1,17.0,"When you go out, what do you carry with you?","Well, the essentials never change much: I always have my phone, wallet with cards and a bit of cash just in case, keys, and usually a small backpack or crossbody bag. I toss in earphones for music or calls, a reusable water bottle because hydration is non-negotiable in Ho Chi Minh City heat, and maybe a lip balm or hand sanitizer for quick fixes. It’s basically my mini survival kit that keeps me ready for whatever the day throws at me.",Heavy Things,1.0,8.0
61.17.1,17.0,"When you go to different places, do you carry different kinds of things?","Yeah, it definitely shifts depending on where I’m headed. For a quick coffee run or market trip, it’s super light with just a phone and wallet, but if I’m meeting friends for dinner or heading to a co-working space, I’ll pack my laptop, charger, and maybe a notebook. Longer outings like a weekend trip to the park or catching a show mean extra stuff: sunglasses, a light jacket for air-conditioned spots, and snacks to avoid hangry moments. You know, it’s all about matching the load to the vibe of the place so I’m not lugging unnecessary weight around.",Heavy Things,1.0,8.0
62.17.1,17.0,What is the difference between the things you carry in the evening and in the morning?,"In the morning I tend to go heavier because the day feels full of potential—I’ll have my work laptop if I’m heading to the office, a bigger water bottle, maybe breakfast on the go like a sandwich, and even an umbrella since Saigon rain can sneak up fast. By evening, though, I strip it down to the bare minimum: just phone, wallet, keys, and maybe a small power bank if I’ve been out all day. The switch happens because mornings are about being prepared for everything, while evenings are more about winding down and getting home light and easy.",Heavy Things,1.0,8.0
63.18.1,18.0,Do you like modern art or traditional art?,"Well, if I had to pick, I lean more toward modern art because it often feels like a bold conversation starter—think abstract shapes, wild colors, or installations that make you question reality rather than just admire beauty. Traditional art, with its masterful realism and historical depth, is stunning too, but sometimes it can feel a bit like looking at a perfectly framed postcard from the past. For me, modern pieces hit harder emotionally in today’s fast-moving world, though I’ll always have huge respect for the technical brilliance of the old masters.",Art,1.0,8.0
64.18.1,18.0,Do you like art?,"Oh, absolutely—I’m drawn to art in pretty much any form, whether it’s a street mural that stops you mid-step or a quiet gallery painting that pulls you in for ages. It’s one of those things that doesn’t need words to communicate; a single brushstroke or sculpture can hit you with joy, unease, or nostalgia all at once. Honestly, life would feel a lot flatter without those little sparks of creativity scattered around.",Art,1.0,8.0
65.18.1,18.0,Do you think it would be interesting for you to be an artist?,"Yeah, it would be fascinating, though I suspect I’d be the kind who experiments wildly and ends up with more chaos than masterpieces in the studio. The freedom to turn raw feelings or random ideas into something tangible sounds incredibly liberating, even if half my “works” might end up looking like abstract disasters. Still, the thought of creating something that might move or puzzle someone else is pretty thrilling—I’d give it a serious go if time and courage aligned.",Art,1.0,8.0
66.19.1,19.0,Do you usually help people around you?,"Yes, I usually try to help people around me since it’s a nice to be kind and generous to those in need. I’ve helped a friend move, organized charity events, or simply offered a listening ear. I think it's important to be there for others and to show them that they are not alone. It's a great feeling to know that you've made a difference in someone's life, even if it's just a small one.",Helping others,1.0,7.5
67.19.1,19.0,"How do you help people around you, such as neighbours, family and friends?","I'm always happy to do what I can whether it's helping family and friends with a project, running an errand, or just being there to listen. I’m not that close to my neighbours since I’ve just moved here  but I’m willing to lend a helping hand if they would ever need me with anything. ",Helping others,1.0,7.5
68.19.1,19.0,Do your parents teach you how to help others?,"Yes, my parents have always taught me the importance of helping others. They've shown me that it's not only important to help those in need, but also to be kind and generous to everyone. They've taught me to be mindful of how my actions can affect others and they've also encouraged me countless time to volunteer in my community and to look for ways to make a difference in the lives of those around me.",Helping others,1.0,7.5
69.19.1,19.0,Did your parents help you a lot when you were young?,"Yes, my parents were incredibly supportive when I was growing up. They were always there to help me with my schoolwork, encourage me to pursue my passions, and provide me with the resources I needed to succeed. They also taught me important life lessons and values that I still carry with me today.",Helping others,1.0,7.5
70.19.1,19.0,What have you done to help the elderly?,"I have volunteered at a local nursing home for the past few years. My job is to help them with activities, such as playing board games, reading books, and helping with arts and crafts. I also work in the kitchen during meal times, making sure the elderly residents have enough to eat and that they are comfortable. I also run some errands, such as grocery shopping and picking up prescriptions. All in all, I enjoy spending time with the elderly and helping them out in any way I can. ",Helping others,1.0,7.5
71.20.1,20.0,Do you work or study?,"Currently I am working as a Teacher of IELTS at Talkfirst. I have been working here for a few months, and besides IELTS, I also teach communicative classes for adult language learners. ",Yourself,1.0,7.5
72.20.1,20.0,What is the most interesting part of being a candidate’s occupation?,"I think when I work as an English teacher, I enjoy seeing my students’ learning progress and their achievements the most, especially if they can achieve their goals while developing an interest in learning the language. That makes me realize my job is meaningful. ",Yourself,1.0,7.5
73.20.1,20.0,What kind of work would you like to do in the future?,"Obviously, I will continue to be an English teacher because I am passionate about teaching. However, I would like to try in a managerial position in the future and make a positive difference within my workplace. ",Yourself,1.0,7.5
